sample_name,radiation,hlu,timepoint,condition_raw,tissue,osd_id,group
Mmus_C57-6J_SPL_HLLC_IRC_Rep1_M18,0,0,,HLLC_IRC,spleen,OSD-211,NL_Ctrl
Mmus_C57-6J_SPL_HLLC_IRC_Rep2_M21,0,0,,HLLC_IRC,spleen,OSD-211,NL_Ctrl
Mmus_C57-6J_SPL_HLLC_IRC_Rep3_M22,0,0,,HLLC_IRC,spleen,OSD-211,NL_Ctrl
Mmus_C57-6J_SPL_HLLC_IRC_Rep4_M25,0,0,,HLLC_IRC,spleen,OSD-211,NL_Ctrl
Mmus_C57-6J_SPL_HLLC_IRC_Rep5_M2,0,0,,HLLC_IRC,spleen,OSD-211,NL_Ctrl
Mmus_C57-6J_SPL_HLLC_IRC_Rep6_M12,0,0,,HLLC_IRC,spleen,OSD-211,NL_Ctrl
Mmus_C57-6J_SPL_HLLC_IR_Rep1_M7,1,0,,HLLC_IR,spleen,OSD-211,NL_Rad
Mmus_C57-6J_SPL_HLLC_IR_Rep2_M13,1,0,,HLLC_IR,spleen,OSD-211,NL_Rad
Mmus_C57-6J_SPL_HLLC_IR_Rep3_M14,1,0,,HLLC_IR,spleen,OSD-211,NL_Rad
Mmus_C57-6J_SPL_HLLC_IR_Rep4_M23,1,0,,HLLC_IR,spleen,OSD-211,NL_Rad
Mmus_C57-6J_SPL_HLLC_IR_Rep5_M24,1,0,,HLLC_IR,spleen,OSD-211,NL_Rad
Mmus_C57-6J_SPL_HLLC_IR_Rep6_M1,1,0,,HLLC_IR,spleen,OSD-211,NL_Rad
Mmus_C57-6J_SPL_HLU_IRC_Rep1_M8,0,1,,HLU_IRC,spleen,OSD-211,HLU_Ctrl
Mmus_C57-6J_SPL_HLU_IRC_Rep2_M10,0,1,,HLU_IRC,spleen,OSD-211,HLU_Ctrl
Mmus_C57-6J_SPL_HLU_IRC_Rep3_M16,0,1,,HLU_IRC,spleen,OSD-211,HLU_Ctrl
Mmus_C57-6J_SPL_HLU_IR_Rep1_M3,1,1,,HLU_IR,spleen,OSD-211,HLU_Rad
Mmus_C57-6J_SPL_HLU_IR_Rep2_M9,1,1,,HLU_IR,spleen,OSD-211,HLU_Rad
Mmus_C57-6J_SPL_HLU_IR_Rep3_M11,1,1,,HLU_IR,spleen,OSD-211,HLU_Rad
Mmus_C57-6J_SPL_HLU_IR_Rep4_M15,1,1,,HLU_IR,spleen,OSD-211,HLU_Rad
Mmus_C57-6J_SPL_HLU_IR_Rep5_M17,1,1,,HLU_IR,spleen,OSD-211,HLU_Rad
Mmus_C57-6J_SPL_HLU_IR_Rep6_M19,1,1,,HLU_IR,spleen,OSD-211,HLU_Rad
