Power,SFT.R.sq,slope,mean.k
1,0.0,4.0589,1582.8608
2,0.0004,-0.0956,867.8184
3,0.0787,-0.9557,493.6425
4,0.3553,-1.5508,291.2698
5,0.5431,-1.6618,178.2541
6,0.6409,-1.6595,113.1311
7,0.7265,-1.5821,74.4301
8,0.7902,-1.5785,50.7203
9,0.8075,-1.4797,35.7515
10,0.8284,-1.4124,26.0175
11,0.871,-1.3148,19.5019
12,0.8393,-1.3381,15.0165
13,0.8409,-1.2863,11.8447
14,0.8416,-1.2403,9.5439
15,0.8365,-1.1821,7.8347
16,0.811,-1.2188,6.5367
17,0.7915,-1.1897,5.5309
18,0.8037,-1.1709,4.7371
19,0.804,-1.0914,4.1003
20,0.7916,-1.09,3.5819
22,0.7867,-1.1081,2.7972
24,0.7931,-1.0856,2.2399
26,0.8058,-1.098,1.8298
28,0.82,-1.1004,1.5193
30,0.8104,-1.0957,1.2787
