module,condition,mission_RR-5,mission_RR-9
MEblack,-0.1033,-0.0,-0.0
MEblue,-0.2697,0.0,0.0
MEbrown,0.1298,0.0,-0.0
MEcyan,-0.1666,-0.0,-0.0
MEdarkgrey,-0.4642,-0.0,-0.0
MEdarkorange,0.0454,0.0,0.0
MEdarkred,-0.0585,-0.0,0.0
MEdarkturquoise,-0.0174,0.0,-0.0
MEgreen,-0.04,0.0,-0.0
MEgreenyellow,0.2502,0.0,-0.0
MElightcyan,-0.3518,-0.0,0.0
MElightgreen,0.0146,-0.0,0.0
MEmagenta,-0.1024,-0.0,-0.0
MEmidnightblue,-0.026,-0.0,0.0
MEorange,0.0155,-0.0,-0.0
MEpink,0.1053,0.0,0.0
MEpurple,0.0224,-0.0,0.0
MEsaddlebrown,0.4956,-0.0,-0.0
MEtan,-0.0572,0.0,-0.0
MEturquoise,0.2674,-0.0,-0.0
MEwhite,-0.4824,-0.0,-0.0
MEyellow,-0.1709,-0.0,0.0
